City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,Akureyri,65.6835,-18.0878,-0.04,69,75,2.57,IS,1698870910
340,Porto Novo,6.4965,2.6036,26.9,86,78,2.02,BJ,1698870911
341,Jamestown,42.097,-79.2353,4.77,64,100,4.12,US,1698870269
342,Siwa Oasis,29.2041,25.5195,23.5,46,0,2.14,EG,1698870912
343,Pucallpa,-8.3791,-74.5539,25.02,100,75,2.57,PE,1698870912
344,Zemio,5.0314,25.1361,21.31,98,100,1.09,CF,1698870912
345,Rwamagana,-1.9487,30.4347,20.69,81,100,1.18,RW,1698870913
346,Murghob,38.1702,73.9667,-1.99,58,19,1.72,TJ,1698870913
347,Zhezqazghan,47.7833,67.7667,6.59,78,100,3.64,KZ,1698870914
348,Pikalevo,59.5183,34.1664,6.83,95,100,4.04,RU,1698870915
349,Mushie,-3.0167,16.9,23.08,80,95,0.99,CD,1698870915
350,Kabansk,52.0486,106.6528,-7.58,64,46,2.5,RU,1698870916
